Question Input,Correct Answer,Model Output
How many items does Store B sell?,30,
Does Store B sell more Puma items than Store C?,No,
What brand(s) does Store D sell?,I don't know,
How many Nike items are sold in total across all stores?,16,
What is the color of the S Nike item?,Red,
Does Store A have more blue or red items?,Blue,
How many stores are there in total?,3,
Which brand(s) have a XL size item in Store B?,"Adidas, Under Armour",
What is the total inventory quantity across all stores?,82,
How many Red Adidas items are there across all stores?,9,
What is the customer's name?,I don't know,
How many Puma items are there across all stores?,12,
What size of New Balance items does Store C has more?,M,
What is the size of the Adidas item located in Store B?,XL,
How many White Reebok items are there in Store C?,7,
Are XXL items sold across all stores?,No,
How many different colors are sold across all stores?,6,
Which store can I get a black shirt from?,I don't know,
Where is the Black Under Armour item located?,Store A,
What is the size of the Puma item located in Store C?,S,
Is Adidias or Nike better?,I don't know,
What brands have a S size item in Store C?,"Puma, Reebok",
Where are the Green Puma items located?,"Store B, Store C",
What sizes of Nike items does Store A have?,"S, L",
How many different brands are sold across all stores?,6,
What is the color of the XL Under Armour item?,Black,
How many different sizes all sold across all stores?,4,
Which brand has a S size item in Store A?,Nike,
Which stores has the most quantity of inventory?,Store B,
Where is the Red Adidas item located?,Store B,
How many Red Adidas items are there in Store B?,9,
What is the color of the L Puma item?,Green,
What is the size of the Supreme item in Store A?,I don't know,
What brands has a XL size item in Store B?,"Adidas, Under Armour",
Where is the Blue Adidas item located?,Store A,
Which brand has a XL size item in Store C?,New Balance,
Where is the Yellow New Balance item located?,Store C,
What is the color of the XL New Balance item?,Yellow,
How many Blue Nike items are there in Store A?,6,
What is the color of the XL Adidas item?,Red,
What is the size of the Adidas item located in Store A?,M,
What is the total quantity of inventory in Store B?,34,
How many Red Nike items are there in Store A?,10,
How much does it cost for an Adidas shirt?,I don't know,
Where is the Blue Nike item located?,Store A,
What is the size of the items located in Store B?,"L, XL",
Which store has the most quantity of Reebok items?,Store C,
What is the size of the Under Armour item located in Store B?,XL,
Where is the Purple Nike item located?,I don't know,
What is the size of the Puma item located in Store B?,L,
